month,week,term,inquiry_topic,category,inquiry_date,day_name,delivery_method,inquiry_count
September 2023,W1,Fall 2023,Admissions,Referral,2023-09-01,Friday,Phone,1
September 2023,W1,Fall 2023,Contact Info Requests,Referral,2023-09-01,Friday,Phone,1
September 2023,W1,Fall 2023,Contact Info Requests,Referral,2023-09-01,Friday,In-person,1
September 2023,W1,Fall 2023,Coop,Referral,2023-09-01,Friday,In-person,1
September 2023,W1,Fall 2023,Course Enrollment,Academics,2023-09-01,Friday,Email,9
September 2023,W1,Fall 2023,Course Enrollment,Academics,2023-09-01,Friday,Phone,1
September 2023,W1,Fall 2023,Course Enrollment,Academics,2023-09-01,Friday,In-person,1
September 2023,W1,Fall 2023,Course Outlines,Referral,2023-09-01,Friday,Email,2
September 2023,W1,Fall 2023,Course Swap,Academics,2023-09-01,Friday,In-person,1
September 2023,W1,Fall 2023,D2L,Academics,2023-09-01,Friday,Email,1
September 2023,W1,Fall 2023,Directions,Other,2023-09-01,Friday,Phone,1
September 2023,W1,Fall 2023,Engineering Program Transition Courses,Academics,2023-09-01,Friday,Email,1
September 2023,W1,Fall 2023,First Year In Two Years,Academics,2023-09-01,Friday,Email,2
September 2023,W1,Fall 2023,Gpa/Cgpa,Academics,2023-09-01,Friday,Email,1
September 2023,W1,Fall 2023,Liberals,Academics,2023-09-01,Friday,Email,1
September 2023,W1,Fall 2023,Lockers,Other,2023-09-01,Friday,Email,2
September 2023,W1,Fall 2023,Myservicehub Navigation,Other,2023-09-01,Friday,Email,1
September 2023,W1,Fall 2023,Myservicehub Navigation,Other,2023-09-01,Friday,Phone,1
September 2023,W1,Fall 2023,One Card,Referral,2023-09-01,Friday,Email,3
September 2023,W1,Fall 2023,Orientation,Other,2023-09-01,Friday,Email,1
September 2023,W1,Fall 2023,Other,Academics,2023-09-01,Friday,Email,2
September 2023,W1,Fall 2023,Probation Contract,Academics,2023-09-01,Friday,Email,17
September 2023,W1,Fall 2023,Probation Contract,Academics,2023-09-01,Friday,Phone,1
September 2023,W1,Fall 2023,Probationary Standing,Academics,2023-09-01,Friday,Email,1
September 2023,W1,Fall 2023,Required To Withdraw (Rtw),Academics,2023-09-01,Friday,Phone,1
September 2023,W1,Fall 2023,Service Hub,Referral,2023-09-01,Friday,Phone,1
September 2023,W1,Fall 2023,Transfer Credits,Referral,2023-09-01,Friday,Email,1
September 2023,W1,Fall 2023,Upper Year Students,Referral,2023-09-01,Friday,Email,1
September 2023,W1,Fall 2023,Wait List,Academics,2023-09-01,Friday,Email,5
September 2023,W1,Fall 2023,Withdrawal - Short Term,Academics,2023-09-01,Friday,Email,1
September 2023,W1,Fall 2023,Writing Test/Cen 199,Academics,2023-09-01,Friday,Email,7
September 2023,W2,Fall 2023,Academic Advising Appointments,Academics,2023-09-04,Monday,Email,1
September 2023,W2,Fall 2023,Academic Advising Appointments,Academics,2023-09-05,Tuesday,In-person,2
September 2023,W2,Fall 2023,Academic Advising Appointments,Academics,2023-09-05,Tuesday,Email,1
September 2023,W2,Fall 2023,Academic Advising Appointments,Academics,2023-09-08,Friday,In-person,2
September 2023,W2,Fall 2023,Academic Consideration Requests (Acrs) - Missing Classes,Academics,2023-09-04,Monday,Email,5
September 2023,W2,Fall 2023,Academic Consideration Requests (Acrs) - Missing Classes,Academics,2023-09-05,Tuesday,Email,1
September 2023,W2,Fall 2023,Academic Consideration Requests (Acrs) - Missing Classes,Academics,2023-09-08,Friday,In-person,2
September 2023,W2,Fall 2023,Academic Standing,Academics,2023-09-05,Tuesday,In-person,1
September 2023,W2,Fall 2023,Aces,Academics,2023-09-04,Monday,Email,1
September 2023,W2,Fall 2023,Aces,Academics,2023-09-07,Thursday,In-person,1
September 2023,W2,Fall 2023,Admissions,Referral,2023-09-05,Tuesday,Email,1
September 2023,W2,Fall 2023,Admissions,Referral,2023-09-08,Friday,Email,1
September 2023,W2,Fall 2023,Admissions,Referral,2023-09-08,Friday,In-person,2
September 2023,W2,Fall 2023,Advisement Report,Academics,2023-09-05,Tuesday,In-person,1
September 2023,W2,Fall 2023,Advisement Report,Academics,2023-09-07,Thursday,In-person,1
September 2023,W2,Fall 2023,Awards/Scholarships,Referral,2023-09-04,Monday,Email,2
September 2023,W2,Fall 2023,Awards/Scholarships,Referral,2023-09-07,Thursday,Email,1
September 2023,W2,Fall 2023,Building And Campus Access,Referral,2023-09-08,Friday,In-person,1
September 2023,W2,Fall 2023,Careers/Employment,Referral,2023-09-08,Friday,In-person,1
September 2023,W2,Fall 2023,Ccs/Student Help Desk,Referral,2023-09-05,Tuesday,In-person,1
September 2023,W2,Fall 2023,Ccs/Student Help Desk,Referral,2023-09-08,Friday,In-person,1
September 2023,W2,Fall 2023,Cen100,Academics,2023-09-08,Friday,Email,1
September 2023,W2,Fall 2023,Chang School,Referral,2023-09-05,Tuesday,In-person,1
September 2023,W2,Fall 2023,Chang School,Referral,2023-09-06,Wednesday,In-person,2
September 2023,W2,Fall 2023,Chang School,Referral,2023-09-08,Friday,In-person,3
September 2023,W2,Fall 2023,Contact Info Requests,Referral,2023-09-04,Monday,Email,1
September 2023,W2,Fall 2023,Contact Info Requests,Referral,2023-09-05,Tuesday,In-person,1
September 2023,W2,Fall 2023,Contact Info Requests,Referral,2023-09-08,Friday,In-person,2
September 2023,W2,Fall 2023,Coop,Referral,2023-09-05,Tuesday,In-person,1
September 2023,W2,Fall 2023,Coop,Referral,2023-09-07,Thursday,Email,1
September 2023,W2,Fall 2023,Course Delivery,Referral,2023-09-05,Tuesday,In-person,1
September 2023,W2,Fall 2023,Course Delivery,Referral,2023-09-07,Thursday,In-person,3
September 2023,W2,Fall 2023,Course Drop,Academics,2023-09-04,Monday,Email,1
September 2023,W2,Fall 2023,Course Drop,Academics,2023-09-05,Tuesday,Email,2
September 2023,W2,Fall 2023,Course Drop,Academics,2023-09-07,Thursday,In-person,1
September 2023,W2,Fall 2023,Course Drop,Academics,2023-09-08,Friday,Phone,1
September 2023,W2,Fall 2023,Course Drop,Academics,2023-09-08,Friday,In-person,1
September 2023,W2,Fall 2023,Course Enrollment,Academics,2023-09-04,Monday,Email,12
